cod;municipio;UF;votos;numeroafiliados;txalfabetizacao;energiaeletrica;perccatolicos;rendapercapita2010;percate40anos;qtnovodepfed;percvotonovo;SOBRE60;E_ANOSESTUDO;T_ANALF18M;GINI;RDPC;P_FORMAL;P_SUPER;TRABCC;TRABPUB;TRABSC;PEA18M;PESO18;pesoRUR;pesotot;pesourb;IDHM
2400406;ÁGUA NOVA;RN;13;0;79,6;99,24;0,93239271;241,26;0,37147651;5;0,006451613;84,48;10,52;24,91;0,44;212,82;27,73;3,48;10,09;17,64;40,32;1119;2015;1072;2980;1908;0,616
2600401;ÁGUA PRETA;PE;20;0;71,9;98,76;0,644512195;238,36;0,373923553;10;0,000954426;82,94;8,8;33,18;0,49;195,47;46,02;5,29;40,68;3,54;25,9;8318;20955;14345;33095;18750;0,553
4300059;ÁGUA SANTA;RS;28;0;95,1;99,83;0,939322034;1313,07;0,31972058;18;0,01045947;85,05;10,51;5,72;0,68;1491,17;28,83;7,78;17,83;7,1;13,73;2232;2677;2275;3722;1447;0,75
3500303;AGUAÍ;SP;521;2;92,8;99,87;0,804531471;735,92;0,366305836;47;0,022495682;85,44;8,57;8,17;0,47;636,07;67,99;8,79;57,79;1,61;19,55;15470;23160;3147;32148;29001;0,715
3100807;AGUANIL;MG;134;0;88,1;99,7;0,874716981;600,32;0,317710903;37;0,044966443;83,53;10,28;13,93;0,45;524,43;50,11;7,66;36,5;8,63;31,02;1953;2980;1709;4054;2345;0,663
2600500;ÁGUAS BELAS;PE;74;0;62,5;98,15;0,934979817;308,06;0,328370821;10;0,002992438;75,48;7,51;42,91;0,58;239,3;16,21;3,85;8,62;5,44;23,45;14497;24729;15671;40235;24564;0,526
3500402;ÁGUAS DA PRATA;SP;164;2;94,3;100;0,801098901;1070,67;0,315137131;47;0,028285616;87,75;9,4;6,4;0,52;853,39;61,47;13,3;49,66;4,06;21,67;3865;5798;813;7584;6771;0,781
4200507;ÁGUAS DE CHAPECÓ;SC;48;0;94,1;99,18;0,787393939;756,93;0,346808511;16;0,010669038;81,45;10,51;6,8;0,44;673,13;57,67;4,99;37,02;4,2;8,83;3261;4499;2874;6110;3236;0,713
3500501;ÁGUAS DE LINDÓIA;SP;478;5;94,5;100;0,837213142;859,77;0,348256689;47;0,036636775;84,54;9,92;6,29;0,43;730,13;68,64;11;54,55;3,1;16,8;8550;13047;155;17266;17111;0,745
3500550;ÁGUAS DE SANTA BÁRBARA;SP;93;0;95,4;99,89;0,80384821;958,14;0,324227816;47;0,022962963;84,03;9,17;5,46;0,48;818,15;66,57;14,06;55,32;5,81;18,75;2601;4050;1342;5601;4259;0,757
3500600;ÁGUAS DE SÃO PEDRO;SP;126;2;98,5;100;0,787345075;1866,22;0,285186553;47;0,058441558;88,06;10,83;1,48;0,54;1580,72;68,33;29,43;47,88;4,21;11,22;1353;2156;0;2707;2707;0,854
3100906;ÁGUAS FORMOSAS;MG;109;0;78,1;96,84;0,818631561;453,06;0,32918448;37;0,008855309;80,45;9,11;26,44;0,57;389,57;28,9;7,38;15,06;8,37;35,56;8060;12309;4161;18479;14318;0,645
4200556;ÁGUAS FRIAS;SC;74;0;91,8;99,72;0,961953436;794,43;0,316006601;16;0,041855204;85,72;11,91;9,67;0,38;743,13;73,95;6,97;25,89;6,04;11,13;1346;1768;1443;2424;981;0,745
5200258;ÁGUAS LINDAS DE GOIÁS;GO;388;3;93,6;99,66;0,672787954;497,26;0,411556175;6;0,003931025;84,35;9,3;7,58;0,43;449,38;62,11;2,33;56,33;3,33;23,25;73008;98702;240;159378;159138;0,686
4200606;ÁGUAS MORNAS;SC;189;0;94,6;99,88;0,804808687;810,69;0,344268205;16;0,045718433;85,08;10,29;6,24;0,34;754,54;68,71;4,75;32,66;5,39;12,31;3448;4134;3221;5548;2327;0,723
3101003;ÁGUAS VERMELHAS;MG;55;0;75,5;97,78;0,837702542;366,52;0,341377142;37;0,006570302;80,2;7,72;30,09;0,51;306,97;26,98;6,68;13,89;8,71;49,22;4585;8371;3781;12722;8941;0,601
4300109;AGUDO;RS;190;5;93,7;99,35;0,508562691;960,39;0,328369812;18;0,014952388;84,65;7,95;7,14;0,52;861,06;49,3;5,96;21,97;3,44;12,06;9804;12707;9833;16722;6889;0,694
3500709;AGUDOS;SP;784;3;95,1;99,89;0,655754787;722,75;0,367193836;47;0,031586157;84,28;10,03;5,57;0,41;642,59;76,05;9,81;67,84;2,49;12,8;17044;24821;1531;34524;32993;0,745
4100301;AGUDOS DO SUL;PR;74;1;92;98,83;0,828993234;590,99;0,326723096;16;0,013058055;79,82;10,08;9,55;0,48;519,63;53,65;5,46;27,51;2,78;15,51;4076;5667;5448;8270;2822;0,66
3200136;ÁGUIA BRANCA;ES;41;0;86,5;99,76;0,820978611;569,77;0,346570018;6;0,006088506;78,5;9,78;15,89;0,53;487,28;36,26;4,05;15,91;7,88;26,12;5170;6734;6468;9519;3051;0,678
2500205;AGUIAR;PB;6;1;65,4;98,92;0,968891252;407,19;0,320253165;2;0,001601708;82,13;9,36;40,28;0,65;407,32;17,18;4,91;10,35;1,51;34,1;2182;3746;2829;5530;2701;0,597
1700301;AGUIARNÓPOLIS;TO;7;0;84,6;96,44;0,875506073;434,16;0,386090663;0;0,00223001;87,09;8,93;18,32;0,48;374,27;55,41;4,16;41,17;10,51;25,66;1985;3139;1020;5162;4142;0,657
3101102;AIMORÉS;MG;229;0;86,7;99,47;0,553069889;628,63;0,326856044;37;0,012645646;80,37;9,32;15,42;0,53;567,46;49,31;8,52;37,24;3,14;25,75;11157;18109;5259;24959;19700;0,684
2900603;AIQUARA;BA;4;0;77,9;96,54;0,733466363;341,21;0,329856584;8;0,001275104;80,12;8,55;25,79;0,44;283,24;32,39;5,06;26,15;4,14;45,48;1930;3137;1922;4602;2680;0,583
2300408;AIUABA;CE;5;0;69,8;94,86;0,937111111;249,46;0,332777881;6;0,000481881;81,81;8,79;37,21;0,53;200,6;12,31;4,21;7,99;2,75;32,88;5842;10376;12252;16203;3951;0,569
3101201;AIURUOCA;MG;80;0;87,1;97,45;0,926808867;691,04;0,311100292;37;0,017293558;85,69;9,14;14,85;0,49;539,92;38,02;7,9;26,62;5,7;35,61;3141;4626;3039;6162;3123;0,668
4300208;AJURICABA;RS;48;0;95,1;99,67;0,545980926;950,5;0,304755341;18;0,008582156;84,85;11,1;5,33;0,47;925,7;37,54;7,23;21,88;6;16,22;4336;5593;3147;7255;4108;0,753
3101300;ALAGOA;MG;73;1;86,8;98,38;0,877750611;483,89;0,278700628;37;0,036573146;82,41;9,16;15,38;0,42;413,75;27,72;6,94;7,25;14,31;20,79;1296;1996;1599;2709;1110;0,649
2500304;ALAGOA GRANDE;PB;91;0;68,4;98,79;0,920132594;344,14;0,328522771;2;0,004815579;86,44;7,78;37,49;0,53;287,94;24,91;4,45;15,32;6,54;28,99;10389;18897;10948;28479;17531;0,582
2500403;ALAGOA NOVA;PB;45;0;74,2;99,43;0,946099984;334,16;0,344901174;2;0,003445372;81,72;8,97;30,72;0,54;272,81;24,88;4,86;11,5;9,96;24,26;7719;13061;9887;19681;9794;0,576
2600609;ALAGOINHA;PE;20;1;75,2;99,42;0,941656943;328,33;0,334762701;10;0,002155405;86,8;8,29;28,42;0,49;275,5;19,51;4,36;8,84;6,39;32,24;5594;9279;5990;13759;7769;0,599
2500502;ALAGOINHA;PB;11;0;68,2;98,16;0,872079363;332,26;0,348703595;2;0,00125;86,28;9,01;38,44;0,52;284,64;35,56;6,15;19,74;8,26;25,22;5078;8800;4542;13576;9034;0,595
2200251;ALAGOINHA DO PIAUÍ;PI;8;0;58,4;86,17;0,932767762;251,5;0,357035826;0;0,001529637;78,25;7;46,9;0,51;222,87;24,16;6,1;12,04;1,88;22,39;1928;5230;4672;7341;2669;0,531
2900702;ALAGOINHAS;BA;336;7;90,4;99,3;0,696507496;638,08;0,39227469;8;0,003334458;85,91;8,71;10,68;0,55;553,17;54,5;8,63;46,06;3,57;21,16;64401;100766;17907;141949;124042;0,683
3500758;ALAMBARI;SP;61;1;94;99,8;0,730964467;633,46;0,355241605;47;0,018026005;80,68;10,52;7,06;0,44;556,36;68,09;5,94;50,85;11;17,74;2222;3384;1212;4884;3672;0,712
3101409;ALBERTINA;MG;72;0;89,3;99,89;0,839613527;626,67;0,354960522;37;0,034026465;80,66;8,79;12,67;0,35;564,08;42,24;5,82;33,2;6,14;31,59;1582;2116;901;2913;2012;0,673
2100204;ALCÂNTARA;MA;9;0;79,4;97,2;0,794040968;252,32;0,356551188;0;0,000643133;82,07;8,21;24,16;0,59;209,27;26,56;4,54;9,41;11,48;25,46;7243;13994;15452;21851;6399;0,573
2300507;ALCÂNTARAS;CE;7;0;74,4;98,39;0,983428189;296,14;0,346021725;6;0,000991361;82;9,43;31,78;0,46;243,73;42,34;5,33;34,35;5,84;22,82;3754;7061;7323;10771;3448;0,6
2500536;ALCANTIL;PB;9;0;72,2;98,59;0,892625733;283,21;0,334224089;2;0,002559727;83,37;7,82;33,02;0,48;245,01;16,67;3,61;6,27;9,16;40,25;1918;3516;3175;5239;2064;0,578
5000252;ALCINÓPOLIS;MS;90;0;90;99,05;0,878463975;867,52;0,383672576;5;0,028037383;85,1;9,93;11,78;0,54;764,03;50,34;11,57;29,44;15,1;25,28;2297;3210;1433;4569;3136;0,711
2900801;ALCOBAÇA;BA;21;0;78,8;96,88;0,850623347;438,98;0,348737718;8;0,001550846;83,98;8,1;25,77;0,53;357,99;25,67;4,15;17,1;1,97;33,9;8933;13541;10186;21271;11085;0,608
2100303;ALDEIAS ALTAS;MA;24;0;64,9;85,83;0,934197845;209,47;0,34009686;0;0,001731977;78,75;6,68;40,35;0,59;179,92;28,49;2,32;23,92;3,48;25,44;7617;13857;10318;23952;13634;0,513
4300307;ALECRIM;RS;34;0;92,7;98,75;0,854066986;631,14;0,233782825;18;0,006295131;85,22;11,36;8,37;0,49;561,62;23,11;3,88;12,27;6,43;10,77;3685;5401;4880;7045;2165;0,672
3200201;ALEGRE;ES;250;2;87,5;99,64;0,616758788;767,05;0,340191108;6;0,011168692;82,67;9,75;14,4;0,52;655,72;49,64;14,35;30,82;9,59;30,09;15078;22384;9256;30768;21512;0,721
4300406;ALEGRETE;RS;436;5;94,5;99,15;0,740829385;844,91;0,318686979;18;0,007634256;84,94;10,98;6,3;0,52;705,29;62,67;13,2;39,56;12,69;17,92;36601;57111;8059;77653;69594;0,74
2200277;ALEGRETE DO PIAUÍ;PI;10;0;68,1;97,51;0,924894788;313,04;0,340384242;0;0,002872738;81,72;8,69;37,95;0,5;268,12;25,51;7,75;14,72;7,12;32,23;1703;3481;2316;5153;2837;0,585
4300455;ALEGRIA;RS;13;0;90,5;99,2;0,798691495;791,22;0,241339223;18;0,004120444;82,21;11,4;10,62;0,53;692,76;46,32;4,43;11,08;7,33;13,47;2473;3155;2716;4301;1585;0,695
3101508;ALÉM PARAÍBA;MG;497;6;93,9;99,52;0,714655825;798,67;0,32720021;37;0,019684728;84,57;9,2;6,69;0,5;674,5;71,22;11,49;54,46;6,4;17,06;16202;25248;2282;34349;32067;0,726
1500404;ALENQUER;PA;69;0;85,4;75,22;0,826980817;269,52;0,319556873;0;0,002379721;84,72;7,82;17,15;0,58;215,33;19,44;3,69;6,57;4,97;24,22;17531;28995;24904;52626;27722;0,564
2400505;ALEXANDRIA;RN;25;0;69;98,62;0,929221643;360,47;0,335899904;5;0,002624948;84,72;8,74;35,57;0,53;296,5;20,59;8,71;10,81;8,39;47,75;4614;9524;4318;13507;9189;0,606
5200308;ALEXÂNIA;GO;148;0;89,4;99,57;0,741040462;566,94;0,358066683;6;0,009207989;84,03;8,84;12,56;0,46;498,09;44,7;6,82;32,23;7,06;29,62;10345;16073;4138;23814;19676;0,682
3101607;ALFENAS;MG;1683;12;94,7;99,87;0,83683659;906,46;0,360818174;37;0,031026473;83,16;10,39;6,12;0,51;783,41;68,87;15,14;54,97;5,83;16,3;37041;54244;4598;73774;69176;0,761
